TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
-12.042470970916266,-10.412099053252655,-8.781727135589044,-7.151355217925433,-5.520983300261822,-3.8906113825982107,-2.2602394649345996,-0.6298675472709885,1.0005043703926226
-12.471368828522923,-10.707846008922555,-8.944323189322187,-7.180800369721819,-5.417277550121451,-3.653754730521083,-1.8902319109207149,-0.1267090913203468,1.6368137282800213
-12.174045316295688,-10.424303991931389,-8.674562667567088,-6.924821343202788,-5.175080018838488,-3.4253386944741866,-1.6755973701098874,0.07414395425441178,1.8238852786187127
-11.60616202118519,-9.938111601153537,-8.270061181121886,-6.6020107610902325,-4.9339603410585795,-3.2659099210269265,-1.5978595009952752,0.07019091903637786,1.738241339068031
-11.386119180563645,-9.737541461583723,-8.088963742603799,-6.440386023623876,-4.791808304643953,-3.14323058566403,-1.494652866684108,0.1539248522958161,1.8025025712757383
-11.27706791607494,-9.564198866624578,-7.851329817174214,-6.138460767723853,-4.42559171827349,-2.712722668823128,-0.9998536193727663,0.713015430077597,2.4258844795279586
-10.98741116820496,-9.263365266238718,-7.539319364272475,-5.815273462306232,-4.0912275603399895,-2.367181658373747,-0.6431357564075029,1.0809101455587395,2.804956047524982
-10.387986268762644,-8.776104877042934,-7.164223485323225,-5.552342093603516,-3.940460701883807,-2.3285793101640984,-0.7166979184443889,0.8951834732753206,2.50706486499503
-10.051332989207092,-8.40113277769831,-6.750932566189528,-5.100732354680746,-3.450532143171964,-1.800331931663182,-0.15013172015440013,1.5000684913543818,3.1502687028631637
-10.086422608048132,-8.438051181392332,-6.789679754736531,-5.141308328080731,-3.4929369014249305,-1.84456547476913,-0.1961940481133304,1.452177378542471,3.1005488051982706
-9.97909188734268,-8.290338872684526,-6.60158585802637,-4.912832843368215,-3.2240798287100603,-1.5353268140519063,0.15342620060624945,1.8421792152644052,3.530932229922559
-9.789219825455897,-7.977388925397623,-6.165558025339349,-4.353727125281075,-2.5418962252228017,-0.7300653251645279,1.0817655748937458,2.8935964749520195,4.705427375010293
