IRRAD_0,IRRAD_1,IRRAD_2,IRRAD_3,IRRAD_4,IRRAD_5,IRRAD_6,IRRAD_7,IRRAD_8
11263.14639203072,12695.375409281387,14127.604426532052,15559.83344378272,16992.062461033387,18424.291478284053,19856.52049553472,21288.749512785384,22720.978530036053
12163.973564770691,13535.967113274783,14907.960661778874,16279.954210282964,17651.947758787057,19023.94130729115,20395.934855795236,21767.928404299328,23139.92195280342
11662.121251443552,13079.059033211752,14495.996814979952,15912.93459674815,17329.87237851635,18746.81016028455,20163.74794205275,21580.68572382095,22997.62350558915
12259.290693246545,13661.348848855232,15063.407004463921,16465.46516007261,17867.523315681297,19269.581471289985,20671.639626898672,22073.697782507363,23475.75593811605
12045.27341795118,13498.921450931774,14952.569483912366,16406.217516892957,17859.86554987355,19313.513582854142,20767.161615834735,22220.809648815328,23674.45768179592
13157.567703542554,14549.228369589067,15940.88903563558,17332.549701682092,18724.210367728607,20115.871033775118,21507.53169982163,22899.19236586814,24290.853031914656
13046.999032063177,14439.72265079886,15832.446269534543,17225.169888270226,18617.89350700591,20010.61712574159,21403.340744477275,22796.064363212958,24188.78798194864
12810.370197628165,14273.470252634625,15736.570307641083,17199.670362647543,18662.770417654003,20125.870472660463,21588.97052766692,23052.07058267338,24515.17063767984
13368.446023233948,14790.534225466818,16212.622427699687,17634.710629932553,19056.798832165427,20478.887034398293,21900.975236631162,23323.063438864032,24745.1516410969
13450.251408910472,14894.696414536866,16339.141420163258,17783.586425789654,19228.031431416046,20672.47643704244,22116.921442668834,23561.366448295223,25005.81145392162
13682.33529794314,15132.268260373894,16582.201222804648,18032.1341852354,19482.067147666156,20932.00011009691,22381.933072527663,23831.866034958417,25281.79899738917
14008.911105474192,15430.29782039623,16851.684535318273,18273.07125024031,19694.45796516235,21115.84468008439,22537.231395006427,23958.61810992847,25380.004824850508
14181.916926639818,15574.968194744566,16968.019462849315,18361.070730954063,19754.12199905881,21147.17326716356,22540.224535268306,23933.275803373053,25326.3270714778
14187.333309528312,15663.42868500466,17139.524060481006,18615.619435957356,20091.714811433703,21567.81018691005,23043.905562386397,24520.000937862744,25996.09631333909
14409.639171417872,15882.167967081758,17354.69676274564,18827.225558409526,20299.75435407341,21772.283149737297,23244.811945401183,24717.340741065065,26189.86953672895
14585.95259277355,16043.023057143655,17500.09352151376,18957.163985883864,20414.23445025397,21871.304914624074,23328.37537899418,24785.445843364287,26242.51630773439
14463.285308109998,15926.06839984297,17388.85149157594,18851.634583308914,20314.417675041885,21777.20076677486,23239.98385850783,24702.766950240803,26165.550041973773
14560.839938921365,16010.203896761665,17459.567854601966,18908.931812442264,20358.295770282566,21807.659728122868,23257.02368596317,24706.38764380347,26155.75160164377
14709.592822757488,16125.759066018883,17541.92530928028,18958.09155254167,20374.257795803067,21790.424039064463,23206.59028232586,24622.756525587254,26038.92276884865
15663.881195695834,17033.69657089188,18403.51194608792,19773.327321283967,21143.142696480012,22512.958071676057,23882.773446872103,25252.588822068145,26622.40419726419
15247.623844135233,16702.672509498236,18157.72117486124,19612.769840224246,21067.81850558725,22522.867170950252,23977.91583631326,25432.964501676262,26888.013167039266
15751.925992315126,17162.76749304509,18573.608993775055,19984.450494505018,21395.291995234984,22806.133495964947,24216.97499669491,25627.816497424872,27038.65799815484
15829.17529077719,17198.729746662946,18568.2842025487,19937.83865843446,21307.393114320213,22676.94757020597,24046.502026091726,25416.05648197748,26785.61093786324
15401.414632213204,16828.31383038247,18255.21302855174,19682.11222672101,21109.011424890276,22535.910623059543,23962.80982122881,25389.70901939808,26816.608217567347
15318.081372234792,16769.241286361703,18220.40120048861,19671.56111461552,21122.72102874243,22573.880942869342,24025.040856996253,25476.20077112316,26927.36068525007
16035.284653981456,17400.682335817175,18766.080017652897,20131.47769948862,21496.87538132434,22862.273063160057,24227.67074499578,25593.0684268315,26958.46610866722
16234.825997259308,17575.702049959353,18916.578102659398,20257.45415535944,21598.330208059484,22939.20626075953,24280.08231345957,25620.958366159615,26961.83441885966
16073.897162807263,17515.959361965633,18958.021561124006,20400.083760282374,21842.145959440746,23284.208158599115,24726.270357757487,26168.332556915855,27610.394756074227
15777.986330774063,17262.62949158977,18747.272652405478,20231.915813221185,21716.558974036892,23201.2021348526,24685.845295668307,26170.488456484014,27655.13161729972
16595.493131924937,17965.36253730551,19335.231942686085,20705.10134806666,22074.970753447233,23444.840158827807,24814.70956420838,26184.578969588954,27554.44837496953
16296.765766139784,17744.871291519165,19192.976816898543,20641.08234227792,22089.1878676573,23537.293393036678,24985.39891841606,26433.50444379544,27881.609969174817
15721.950360677469,17176.219620298754,18630.488879920038,20084.758139541325,21539.02739916261,22993.296658783896,24447.56591840518,25901.835178026464,27356.10443764775
16253.469626440969,17679.696255818366,19105.922885195767,20532.149514573168,21958.376143950565,23384.602773327962,24810.829402705363,26237.056032082764,27663.28266146016
16486.695742858992,17924.637021221006,19362.57829958302,20800.519577945033,22238.460856307047,23676.40213466906,25114.343413031074,26552.284691393088,27990.2259697551
16398.322449662322,17872.854970006454,19347.387490350582,20821.92001069471,22296.45253103884,23770.985051382973,25245.5175717271,26720.05009207123,28194.58261241536
16679.637521716795,18164.731681769037,19649.825841821275,21134.920001873517,22620.014161925756,24105.108321977998,25590.20248203024,27075.29664208248,28560.39080213472
16772.97085806643,18199.571084167546,19626.17131026866,21052.77153636977,22479.371762470888,23905.971988572004,25332.572214673117,26759.17244077423,28185.772666875346
16537.73829697442,18049.21852420946,19560.6987514445,21072.178978679534,22583.659205914573,24095.139433149612,25606.619660384647,27118.099887619686,28629.580114854725
16422.58992549186,17905.82384091302,19389.057756334187,20872.29167175535,22355.52558717651,23838.759502597677,25321.99341801884,26805.22733344,28288.461248861167
16938.70432661693,18333.252209014503,19727.800091412075,21122.34797380965,22516.895856207222,23911.443738604794,25305.991621002366,26700.539503399938,28095.08738579751
17111.046283927142,18518.04436476989,19925.042445612635,21332.040526455385,22739.03860729813,24146.036688140877,25553.034768983627,26960.032849826373,28367.03093066912
16803.779607971916,18252.801948439,19701.82428890608,21150.84662937316,22599.868969840245,24048.891310307325,25497.913650774408,26946.935991241487,28395.95833170857
17128.69829064075,18558.30091754046,19987.90354444017,21417.50617133988,22847.10879823959,24276.7114251393,25706.314052039008,27135.916678938716,28565.51930583843
17053.029878582674,18439.724660785825,19826.419442988972,21213.114225192123,22599.80900739527,23986.50378959842,25373.19857180157,26759.893354004722,28146.58813620787
17050.955889170982,18431.552189893384,19812.148490615786,21192.74479133819,22573.341092060593,23953.937392782995,25334.5336935054,26715.129994227802,28095.726294950204
16232.694961381198,17684.67056656202,19136.646171742846,20588.62177692367,22040.597382104494,23492.572987285315,24944.54859246614,26396.524197646962,27848.499802827788
16484.301210416277,17943.526579578906,19402.751948741534,20861.977317904166,22321.20268706679,23780.428056229423,25239.65342539205,26698.87879455468,28158.104163717308
16363.401006196484,17840.632758448348,19317.864510700212,20795.09626295208,22272.328015203944,23749.55976745581,25226.791519707673,26704.023271959537,28181.2550242114
16586.01778024699,18023.28086174002,19460.543943233046,20897.807024726073,22335.0701062191,23772.333187712127,25209.596269205154,26646.85935069818,28084.12243219121
16663.024077255144,18077.187645855593,19491.35121445604,20905.51478305649,22319.678351656938,23733.841920257386,25148.005488857834,26562.169057458283,27976.33262605873
16792.25030287808,18246.109136275783,19699.967969673486,21153.826803071188,22607.68563646889,24061.544469866592,25515.403303264295,26969.262136661997,28423.1209700597
16610.035251539965,18041.383161264857,19472.731070989754,20904.07898071465,22335.426890439543,23766.774800164436,25198.122709889332,26629.47061961423,28060.81852933912
16549.579059279233,17972.456017133583,19395.332974987934,20818.209932842285,22241.086890696635,23663.963848550986,25086.84080640534,26509.71776425969,27932.59472211404
16771.64956762798,18144.92805345025,19518.20653927252,20891.485025094786,22264.763510917055,23638.041996739325,25011.32048256159,26384.59896838386,27757.87745420613
16313.024644008929,17774.391266836672,19235.757889664415,20697.124512492155,22158.4911353199,23619.857758147642,25081.224380975385,26542.59100380313,28003.957626630872
16379.14574393634,17800.660604999477,19222.175466062614,20643.690327125747,22065.205188188884,23486.72004925202,24908.234910315157,26329.749771378294,27751.26463244143
16575.45807310175,17978.866298951383,19382.274524801018,20785.682750650652,22189.090976500287,23592.49920234992,24995.907428199556,26399.31565404919,27802.723879898826
16197.356035837902,17646.23647625452,19095.116916671137,20543.997357087756,21992.87779750437,23441.75823792099,24890.638678337607,26339.519118754222,27788.39955917084
16159.752069996008,17663.56003200412,19167.36799401223,20671.175956020343,22174.983918028454,23678.791880036566,25182.599842044674,26686.407804052786,28190.215766060897
16186.75283238908,17627.817584915978,19068.882337442872,20509.94708996977,21951.011842496664,23392.076595023562,24833.14134755046,26274.206100077354,27715.27085260425
15895.607089519215,17363.382927429688,18831.15876534016,20298.93460325063,21766.7104411611,23234.48627907157,24702.26211698204,26170.037954892512,27637.813792802983
15994.593862968975,17439.642626742054,18884.69139051513,20329.740154288207,21774.788918061284,23219.83768183436,24664.886445607437,26109.935209380514,27554.98397315359
