VAP_0,VAP_1,VAP_2,VAP_3,VAP_4,VAP_5,VAP_6,VAP_7,VAP_8
0.06,0.12408585179301279,0.18817170358602558,0.2522575553790384,0.31634340717205117,0.38042925896506397,0.44451511075807676,0.5086009625510896,0.5726868143441024
0.06,0.12923262385693632,0.19846524771387264,0.26769787157080893,0.3369304954277453,0.4061631192846816,0.4753957431416179,0.5446283669985543,0.6138609908554906
0.06,0.12833757010940972,0.19667514021881943,0.26501271032822915,0.33335028043763887,0.4016878505470486,0.4700254206564583,0.538362990765868,0.6067005608752778
0.06,0.1288511870651659,0.19770237413033181,0.2665535611954977,0.33540474826066363,0.40425593532582954,0.47310712239099545,0.5419583094561613,0.6108094965213273
0.06,0.1261620567617116,0.1923241135234232,0.2584861702851348,0.3246482270468464,0.39081028380855803,0.45697234057026964,0.5231343973319813,0.5892964540936929
0.06,0.1260568620270109,0.19211372405402183,0.2581705860810327,0.32422744810804366,0.39028431013505455,0.4563411721620655,0.5223980341890764,0.5884548962160874
0.06,0.1273773499659519,0.1947546999319038,0.2621320498978557,0.3295093998638076,0.3968867498297595,0.4642640997957114,0.5316414497616633,0.5990187997276153
0.06,0.12456761825081589,0.18913523650163178,0.2537028547524477,0.31827047300326355,0.38283809125407947,0.44740570950489533,0.5119733277557112,0.5765409460065272
0.06,0.12867107598540733,0.19734215197081467,0.266013227956222,0.33468430394162935,0.4033553799270367,0.472026455912444,0.5406975318978513,0.6093686078832588
0.06,0.1325660309172012,0.2051320618344024,0.2776980927516036,0.3502641236688048,0.42283015458600604,0.49539618550320724,0.5679622164204086,0.6405282473376097
0.06,0.12794499842766308,0.19588999685532615,0.26383499528298926,0.3317799937106523,0.3997249921383154,0.46766999056597847,0.5356149889936415,0.6035599874213047
0.06,0.1338792155905482,0.20775843118109638,0.2816376467716446,0.35551686236219276,0.429396077952741,0.5032752935432891,0.5771545091338373,0.6510337247243856
0.06,0.13215070264969123,0.20430140529938245,0.2764521079490737,0.3486028105987649,0.42075351324845617,0.49290421589814737,0.5650549185478386,0.6372056211975299
0.06,0.12967270515471757,0.19934541030943514,0.2690181154641527,0.3386908206188703,0.40836352577358787,0.47803623092830544,0.547708936083023,0.6173816412377406
0.06,0.13125245605993177,0.20250491211986354,0.27375736817979535,0.3450098242397271,0.4162622802996589,0.48751473635959064,0.5587671924195223,0.6300196484794542
0.06,0.12898807213563726,0.19797614427127452,0.2669642164069118,0.33595228854254905,0.40494036067818634,0.4739284328138236,0.5429165049494609,0.6119045770850982
0.0056200346215987,0.08442665177822327,0.16323326893484785,0.24203988609147242,0.320846503248097,0.39965312040472156,0.47845973756134613,0.5572663547179706,0.6360729718745952
0.06,0.1343686302572429,0.20873726051448582,0.28310589077172876,0.35747452102897165,0.4318431512862146,0.5062117815434575,0.5805804118007003,0.6549490420579434
0.06,0.130935484287767,0.201870968575534,0.27280645286330096,0.343741937151068,0.41467742143883496,0.485612905726602,0.5565483900143691,0.627483874302136
0.06,0.13809493355838243,0.21618986711676486,0.2942848006751473,0.3723797342335297,0.45047466779191214,0.5285696013502945,0.606664534908677,0.6847594684670595
0.0139931212213368,0.09354935229625394,0.1731055833711711,0.2526618144460882,0.33221804552100537,0.41177427659592253,0.49133050767083963,0.5708867387457568,0.650442969820674
0.06,0.13320301159288678,0.20640602318577356,0.27960903477866034,0.3528120463715471,0.4260150579644339,0.4992180695573207,0.5724210811502075,0.6456240927430943
0.0437872112266652,0.12602947316764196,0.20827173510861874,0.29051399704959546,0.37275625899057224,0.454998520931549,0.5372407828725257,0.6194830448135026,0.7017253067544793
0.0364136311207838,0.11679418613393311,0.19717474114708242,0.2775552961602317,0.357935851173381,0.43831640618653034,0.5186969611996797,0.5990775162128289,0.6794580712259782
0.0271719893247526,0.11065489276744936,0.1941377962101461,0.27762069965284286,0.3611036030955396,0.4445865065382364,0.5280694099809331,0.6115523134236299,0.6950352168663266
0.0348982399464988,0.11635637834487139,0.19781451674324396,0.2792726551416166,0.36073079353998916,0.44218893193836173,0.5236470703367343,0.6051052087351069,0.6865633471334794
0.0573587102076644,0.1360441671249939,0.21472962404232337,0.2934150809596529,0.3721005378769824,0.45078599479431186,0.5294714517116413,0.6081569086289708,0.6868423655463003
0.0403719212532325,0.12047185031497076,0.200571779376709,0.2806717084384473,0.36077163750018554,0.4408715665619238,0.5209714956236621,0.6010714246854003,0.6811713537471386
0.0439049866960988,0.12300674750668111,0.20210850831726343,0.28121026912784575,0.36031202993842804,0.4394137907490103,0.5185155515595927,0.597617312370175,0.6767190731807573
0.0388879741167473,0.12088555134479373,0.20288312857284016,0.2848807058008866,0.366878283028933,0.44887586025697945,0.5308734374850259,0.6128710147130723,0.6948685919411187
0.0417986384991122,0.12518192591913962,0.20856521333916705,0.2919485007591945,0.3753317881792219,0.45871507559924934,0.5420983630192768,0.6254816504393043,0.7088649378593317
0.0321256187185022,0.11531422094366443,0.19850282316882667,0.28169142539398895,0.36488002761915117,0.4480686298443134,0.5312572320694756,0.6144458342946378,0.6976344365198001
0.0576518794888219,0.13785358877767107,0.21805529806652024,0.29825700735536936,0.37845871664421854,0.4586604259330677,0.5388621352219168,0.619063844510766,0.6992655537996152
0.0685431387158425,0.14834668124945405,0.22815022378306557,0.3079537663166771,0.38775730885028864,0.4675608513839002,0.5473643939175117,0.6271679364511232,0.7069714789847348
0.0577473191854237,0.1399344619095999,0.2221216046337761,0.30430874735795227,0.3864958900821285,0.4686830328063047,0.5508701755304809,0.6330573182546572,0.7152444609788333
0.0709385800070685,0.15205295228414223,0.23316732456121597,0.31428169683828966,0.3953960691153634,0.47651044139243715,0.5576248136695109,0.6387391859465846,0.7198535582236584
