TMAX_0,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8
-12.95109201930504,-11.248996563517277,-9.546901107729513,-7.844805651941749,-6.142710196153985,-4.440614740366222,-2.738519284578457,-1.0364238287906922,0.6656716269970708
-12.624614289611204,-11.032565570415777,-9.44051685122035,-7.848468132024924,-6.256419412829497,-4.66437069363407,-3.072321974438644,-1.4802732552432172,0.11177546395220972
-12.250894184814891,-10.678829687376883,-9.106765189938873,-7.534700692500865,-5.962636195062856,-4.390571697624848,-2.818507200186838,-1.2464427027488298,0.3256217946891784
-12.59075207981567,-10.941462020927647,-9.292171962039625,-7.642881903151601,-5.993591844263578,-4.344301785375555,-2.6950117264875306,-1.0457216675995085,0.6035683912885155
-12.696785333174152,-11.039050278698962,-9.381315224223773,-7.723580169748583,-6.065845115273394,-4.408110060798204,-2.750375006323015,-1.0926399518478256,0.5650951026273638
-12.478370582711223,-10.836166728382612,-9.193962874054,-7.551759019725388,-5.909555165396776,-4.267351311068165,-2.625147456739553,-0.9829436024109413,0.6592602519176705
-12.49575325933464,-10.89091085266379,-9.286068445992942,-7.681226039322093,-6.076383632651243,-4.471541225980394,-2.866698819309546,-1.2618564126386964,0.34298599403215313
-12.62542904209982,-11.014055904507893,-9.40268276691597,-7.791309629324044,-6.179936491732119,-4.568563354140194,-2.957190216548268,-1.345817078956344,0.26555605863558185
-12.841040538414996,-11.18099434262327,-9.520948146831543,-7.860901951039818,-6.200855755248091,-4.540809559456365,-2.8807633636646397,-1.2207171678729125,0.4393290279188129
-12.919753292358624,-11.26732315468137,-9.614893017004114,-7.962462879326858,-6.310032741649603,-4.657602603972347,-3.0051724662950914,-1.3527423286178362,0.29968780905941905
-12.378542753167205,-10.705283952206353,-9.0320251512455,-7.3587663502846485,-5.6855075493237965,-4.0122487483629445,-2.3389899474020925,-0.6657311464412405,1.0075276545196115
-12.710876581675372,-11.078185963728215,-9.44549534578106,-7.812804727833903,-6.180114109886747,-4.5474234919395915,-2.9147328739924347,-1.2820422560452798,0.350648361901877
-12.256963743247622,-10.602652099844672,-8.948340456441722,-7.2940288130387705,-5.63971716963582,-3.985405526232869,-2.3310938828299186,-0.6767822394269682,0.9775294039759821
-12.369116904980292,-10.789217565434013,-9.209318225887735,-7.629418886341455,-6.049519546795176,-4.469620207248898,-2.889720867702618,-1.3098215281563395,0.2700778113899389
-12.090294042294255,-10.472191124134643,-8.854088205975032,-7.235985287815419,-5.617882369655806,-3.9997794514961935,-2.3816765333365826,-0.7635736151769699,0.8545293029826428
-12.24816885327257,-10.60883338508998,-8.969497916907388,-7.330162448724797,-5.690826980542206,-4.051491512359615,-2.4121560441770242,-0.772820575994432,0.8665148921881585
-12.133671688291084,-10.471734318705625,-8.809796949120166,-7.147859579534705,-5.485922209949246,-3.823984840363787,-2.162047470778326,-0.5001101011928668,1.1618272683925923
-11.599135685437853,-10.026105841435378,-8.453075997432904,-6.880046153430429,-5.307016309427955,-3.733986465425481,-2.160956621423006,-0.5879267774205328,0.9851030665819422
-11.286554011782703,-9.737876360947665,-8.189198710112628,-6.640521059277589,-5.09184340844255,-3.543165757607511,-1.994488106772474,-0.4458104559374352,1.1028671948976037
-11.495350592397475,-9.883354260539981,-8.271357928682487,-6.6593615968249935,-5.0473652649675,-3.4353689331100057,-1.8233726012525118,-0.21137626939501786,1.400620062462476
-11.500958096797056,-9.8468828769272,-8.192807657057344,-6.5387324371874875,-4.884657217317631,-3.230581997447775,-1.5765067775779187,0.0775684422919376,1.7316436621617939
-11.206157378525912,-9.633542929253073,-8.060928479980234,-6.488314030707395,-4.915699581434556,-3.3430851321617165,-1.7704706828888774,-0.19785623361603832,1.3747582156568008
-11.3328161207854,-9.715408601061124,-8.09800108133685,-6.480593561612574,-4.863186041888298,-3.245778522164022,-1.6283710024397475,-0.010963482715471429,1.6064440370088047
-11.020160678238335,-9.335078552197624,-7.649996426156911,-5.964914300116199,-4.279832174075487,-2.5947500480347756,-0.9096679219940622,0.7754142040466494,2.460496330087361
-10.70785605426102,-9.102918700740904,-7.4979813472207875,-5.893043993700671,-4.288106640180555,-2.683169286660439,-1.0782319331403212,0.5267054203797947,2.1316427738999106
-10.472547680961272,-8.874752075222485,-7.276956469483698,-5.6791608637449125,-4.081365258006126,-2.483569652267339,-0.8857740465285531,0.7120215592102337,2.3098171649490205
-10.050835680481034,-8.464406598070427,-6.87797751565982,-5.291548433249214,-3.705119350838607,-2.118690268428,-0.5322611860173936,1.0541678963932135,2.6405969788038206
-10.426342172734731,-8.742600123158066,-7.058858073581403,-5.375116024004739,-3.6913739744280747,-2.0076319248514096,-0.32388987527474633,1.359852174301917,3.043594223878582
-9.731261458899317,-8.160964893883461,-6.590668328867604,-5.020371763851749,-3.4500751988358926,-1.8797786338200364,-0.30948206880418105,1.260814496211676,2.8311110612275314
-10.072613551769503,-8.475407499728897,-6.878201447688292,-5.280995395647686,-3.6837893436070797,-2.0865832915664733,-0.48937723952586865,1.1078288125147377,2.705034864555344
-9.186742837161924,-7.560126878224649,-5.933510919287373,-4.306894960350098,-2.6802790014128224,-1.0536630424755469,0.5729529164617286,2.199568875399004,3.8261848343362796
-9.652121178470283,-7.974166161154634,-6.296211143838985,-4.6182561265233355,-2.9403011092076863,-1.2623460918920362,0.41560892542361216,2.0935639427392605,3.7715189600549106
-8.387778025903737,-6.860586516817245,-5.333395007730752,-3.806203498644261,-2.2790119895577687,-0.7518204804712765,0.7753710286152149,2.302562537701707,3.8297540467881994
-8.937115298629328,-7.297978001494997,-5.658840704360666,-4.019703407226336,-2.380566110092005,-0.7414288129576736,0.8977084841766558,2.536845781310987,4.175983078445318
-8.753787582238294,-7.141349821224882,-5.52891206021147,-3.9164742991980575,-2.3040365381846453,-0.6915987771712331,0.9208389838421791,2.5332767448555913,4.1457145058690035
-8.2974308355904,-6.736410139935099,-5.175389444279798,-3.6143687486244955,-2.053348052969194,-0.49232735731389266,1.0686933383414097,2.629714033996711,4.1907347296520125
-8.068130841689449,-6.467124802601097,-4.866118763512744,-3.265112724424391,-1.664106685336039,-0.06310064624768685,1.537905392840667,3.138911431929019,4.739917471017371
-7.979999530292686,-6.32740912061165,-4.674818710930615,-3.02222830124958,-1.3696378915685443,0.28295251811249145,1.9355429277935254,3.588133337474561,5.240723747155597
-7.694297084796537,-6.084681231995702,-4.475065379194868,-2.865449526394035,-1.2558336735932007,0.35378217920763255,1.9633980320084667,3.573013884809301,5.182629737610135
-7.250283274223042,-5.6491279590070205,-4.047972643790999,-2.4468173285749772,-0.8456620133589556,0.7554933018570669,2.3566486170730876,3.9578039322891083,5.558959247505131
-6.959591837623538,-5.463575219707888,-3.967558601792237,-2.4715419838765857,-0.9755253659609355,0.5204912519547147,2.0165078698703667,3.512524487786017,5.008541105701667
-7.288167641203016,-5.627876461717963,-3.9675852822329105,-2.307294102747858,-0.6470029232628054,1.013288256222248,2.6735794357072997,4.333870615192351,5.994161794677405
-6.741932772419744,-5.139590615266912,-3.53724845811408,-1.9349063009612477,-0.3325641438084155,1.2697780133444176,2.872120170497249,4.47446232765008,6.0768044848029135
-6.409607232896036,-4.886840213964818,-3.3640731950335994,-1.841306176102381,-0.31853915717116266,1.2042278617600557,2.726994880691274,4.2497618996224915,5.772528918553711
-6.263491687769614,-4.6651551869467145,-3.0668186861238143,-1.468482185300914,0.12985431552198534,1.7281908163448847,3.326527317167786,4.924863817990685,6.5232003188135845
